"uniqueid","date","variable","parameter","unit","level","leaf.area.missing","tree","HHMMSS","Obs","YYYYMMDD","DOY","EBal.","Area","StmRat","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","n","FTime","CsMchSD","HsMchSD","CrMchSD","HrMchSD","BLC_1","fda","Photo","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","CTleaf","SVTleaf","h2o_i","h2odiff","CTair","SVTair","CndTotal","vp_kPa","VpdA","BLCond","Cond","CndCO2","Ci","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","Trmmol","VpdL","Site","Date","Time","Initials","Taxon","Notes","Plot","DatePhoto","Tag","TimeStart","index","DateSampled","DateMeasured","Treatment","Chamber","curveID","Campaign","chamber_leaf_area"
"pbvaoc3",NA,"Coolers:","Tblock","C",15,FALSE,NA,"11:36:35",40.5,NA,NA,0,6,1,15.084,15.306,15.09,400.399,376.204,1.3788,8.8465,5.484,35.174,499.9,1500,145.1,68.413,-1.25,0.232,1,-0.22,2.74,1,0,0.16,111115,15,1814.8,NA,NA,NA,NA,1.42,0.833166666666666,17.796895218181,0.00627737148566479,288.456,288.234,240,-0.469520855214855,15.306,1.74537721969996,25.5123620401765,16.6658620401765,15.195,1.73297535454594,0.370189619005048,0.605215608,1.12775974654594,2.84,0.425675838725561,0.235786586615405,291.832631218436,19.9651457794882,0.775729744303975,42.1973003495741,367.744208258963,0.0204212851895734,6.27737148566479,1.14016161169996,"Painter Boy","2015-07-02",NA,NA,"Valeriana occidentalis","at 30 °C, T_leaf = T_air (not transpiring)",NA,NA,NA,"1899-12-31 09:40:00",NA,NA,NA,NA,NA,296,"RMBL_2015",6
"062316-stm-vaoc4",NA,"Coolers:","Tblock","C",15,FALSE,NA,"09:42:01",55.5,NA,NA,0,6,1,14.824,15.763,15.107,400.195,378.076,3.3872,8.2313,14.659,35.621,301.02,1699.2,6,73.22,-5.93,-0.0354,1,-0.22,2.74,1,0,0.16,111115,15,1566.25,NA,NA,NA,NA,1.42,0.5017,10.1706460638686,0.00245045582459181,288.913,287.974,271.872,1.8481213795566,15.763,1.79726269091672,24.5460624271608,16.3147624271608,15.2935,1.7439768411117,0.147737037638795,0.602695786,1.1412810551117,2.84,0.15584407432163,0.0930313275023342,260.343127504278,19.0623237958633,0.688599967519374,35.9418210448294,373.24136190626,0.00979398303374914,2.45045582459181,1.19456690491672,"CBT","2016-06-23",NA,NA,"Valerium","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL_2016",6
"062716-stm-vaoc7",NA,"Coolers:","Tblock","C",10,TRUE,NA,"15:50:13",42.5,NA,NA,0,6,1,11.618,16.871,10.01,399.822,388.626,4.1606,6.2156,22.234,33.218,499.91,1700,7,73.353,1.97,0.088,1,-0.22,2.74,1,0,0.16,111115,17,1341.25,NA,NA,NA,NA,1.42,0.833183333333333,8.65875719222347,0.00172290059488831,290.021,284.768,272,1.70398584729329,16.871,1.92872047819177,26.2936827041858,20.0780827041858,14.2445,1.62990742269007,0.0844152333591805,0.45593291,1.17397451269007,2.84,0.0870012311222376,0.0529859180523403,215.389293924145,15.7994528133215,0.554232807249249,24.6846429814532,384.510041475528,0.00555871398463777,1.72290059488831,1.47278756819177,"CBT","2016-06-27",NA,NA,"Valerium","bad",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"RMBL_2016",6
"rcup4",NA,"Coolers:","Tblock","C",20,FALSE,NA,"10:19:46",55.5,NA,NA,0,6,1,19.699,19.197,19.986,399.779,382.711,5.2386,11.1853,16.704,35.666,500.03,1500,11.1,73.45,-2.66,0.207,1,-0.22,2.74,1,0,0.16,111115,15,1819.25,NA,NA,NA,NA,1.42,0.833383333333333,12.3060637989316,0.00501194074726028,292.347,292.849,240,0.291234812746496,19.197,2.23243630997959,30.3939592917575,19.2086592917575,19.448,2.26759037346696,0.255496552175202,0.821560285,1.44603008846696,2.84,0.280754215283682,0.16177749514971,296.127734192385,21.7505820764307,0.773763318628088,41.2656027650105,376.861286574452,0.0134749058280598,5.01194074726028,1.41087602497959,"Road","2015-06-27",NA,NA,"Veratrum californicum",NA,NA,NA,NA,"1899-12-31 08:43:00",NA,NA,NA,NA,NA,318,"RMBL_2015",6
"pdeba1",NA,"Coolers:","Tblock","C",13,FALSE,NA,"14:38:24",25.5,NA,NA,0,6,1,14.562,17.567,13.12,400.011,379.457,3.802,8.4473,16.066,35.694,499.9,1501,286.6,70.3,-1.78,0.319,1,-0.22,2.74,1,0,0.16,111115,15,1467.25,NA,NA,NA,NA,1.42,1.15707521377791,21.7255815558752,0.00542075221107916,290.717,287.712,240.16,-0.361608715492546,17.567,2.01554683838139,28.6706520395646,20.2233520395646,16.0645,1.83223009210801,0.263069640399917,0.59384519,1.23838490210801,2.84,0.289925490089726,0.166637400181741,239.021039649964,16.8031790873925,0.629902765341867,34.7867740199864,369.129698908299,0.0204741995026671,5.42075221107916,1.42170164838139,"Pfeiler","2015-06-27",NA,NA,"Delphinium barbeyi",NA,NA,NA,NA,"1899-12-31 01:10:00",NA,NA,NA,NA,NA,300,"RMBL_2015",4.320376014
"rvaoc1",NA,"Coolers:","Tblock","C",11.84,FALSE,NA,"11:34:26",10.5,NA,NA,0,6,1,14.117,17.283,12.06,400.213,378.581,1.5616,7.598,7.085,34.47,499.95,1499,16,73.33,-1.7,0.255,0.7,-0.22,2.74,1,0,0.16,111115,15,1390.75,NA,NA,NA,NA,1.42,0.83325,16.1060884646184,0.00506833986045893,290.433,287.267,239.84,-0.1981479239352,17.283,1.97971238111971,26.9973050745904,19.3993050745904,15.7,1.79003027433397,0.256745085490437,0.55716134,1.23286893433397,2.84,0.282262585869379,0.162578464898911,269.413782220467,19.7561126502268,0.711641013353722,33.4891359856202,370.924936821396,0.0145414673074685,5.06833986045893,1.42255104111971,"Road","2015-06-25",NA,NA,"Valeriana occidentalis","not yet bolted/flowering. This is the ""ground"" leaf morphology before bolting with flower appearance. Entire chamber area filled.  *Measured right before LICOR went bad*",NA,NA,NA,"1899-12-31 10:06:00",NA,NA,NA,NA,NA,323,"RMBL_2015",6
"063016-stm-lup1",NA,"Coolers:","Tblock","C",15,FALSE,NA,"14:28:18",70.5,NA,NA,0,6,1,15.121,16.491,15.1,400.353,388.066,6.5767,8.6477,27.874,36.65,500.02,1699,6.4,73.11,1.07,-0.0106,1,-0.22,2.74,1,0,0.16,111115,30,1795.75,NA,NA,NA,NA,1.42,1.49527511961722,17.1602359364563,0.00312372792845291,289.641,288.271,271.84,1.43592129467308,16.491,1.88271506348162,25.7518132058764,17.1041132058764,15.806,1.80221330174305,0.17948908651497,0.632233347,1.16997995474305,2.84,0.191598179015762,0.113209191953978,227.986900330324,16.66812228315,0.587495130219673,36.6897264668443,379.908845593586,0.0165725209499621,3.1237279284529,1.25048171648162,"Road","2016-06-29",NA,NA,"Lupinus","ok; plant was wilted, but had high photosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"RMBL_2016",3.344
"plipo1",NA,"Coolers:","Tblock","C",8.65,FALSE,NA,"13:26:55",10.5,NA,NA,0,6,1,11.09,15.145,8.62,399.294,385.125,2.8951,6.5956,15.361,35.001,499.83,1499,312,70.33,-1.06,0.334,1,-0.22,2.74,1,0,0.16,111115,15,1378.25,NA,NA,NA,NA,1.42,1.23587070718104,15.7380522512058,0.00460370358354238,288.295,284.24,239.84,-0.0501460579346409,15.145,1.72741612336932,24.5615828717378,17.9659828717378,13.1175,1.5147138356909,0.252255210139888,0.463868548,1.0508452876909,2.84,0.276845442687912,0.159698584677197,277.031807553817,19.48364702526,0.719329549921269,32.2956980839684,377.643883612983,0.0134590434051221,4.60370358354238,1.26354757536932,"Pfeiler","2015-06-27",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 11:53:00",NA,NA,NA,NA,NA,304,"RMBL_2015",4.044355102
"pdeba4",NA,"Coolers:","Tblock","C",12,FALSE,NA,"14:29:58",25.5,NA,NA,0,6,1,13.746,17.452,11.97,399.709,379.767,2.5159,8.0169,11.198,35.686,488.81,1500,311,70.24,-1.38,0.32,1,-0.22,2.74,1,0,0.16,111215,15,1827.85,NA,NA,NA,NA,1.42,1.0638927456068,18.9756152368843,0.00589977157804595,290.602,286.896,240,-0.701607180400818,17.452,2.00096863859268,28.4875945129937,20.4706945129937,15.599,1.77848919614431,0.282945426773839,0.563107056,1.21538214014431,2.84,0.314254158109245,0.179410339238719,263.424937259181,18.5029675930849,0.693648931536844,34.0980150015185,370.746901207819,0.0174520957275388,5.89977157804595,1.43786158259268,"Pfeiler","2015-06-28",NA,NA,"Delphinium barbeyi","Lots of psyn oscillation",NA,NA,NA,"1899-12-31 01:00:00",NA,NA,NA,NA,NA,303,"RMBL_2015",4.594542091
"062816-stm-vaoc8",NA,"Coolers:","Tblock","C",10,FALSE,NA,"19:30:08",50.5,NA,NA,0,6,1,11.588,17.705,10.01,400.429,388.475,4.421,6.4463,23.629,34.449,499.92,1700,6,73.2,2.32,0.0565,1,-0.22,2.74,1,0,0.16,111115,15,1343.75,NA,NA,NA,NA,1.42,0.8332,9.3002762912883,0.00169842856487641,290.855,284.738,272,1.60613872389121,17.705,2.03316411186991,27.7754660091518,21.3291660091518,14.6465,1.67282165900477,0.0782668851402958,0.47186916,1.20095249900477,2.84,0.0804849519256772,0.0491113615077612,189.116270797119,13.8433110223491,0.486817088057045,24.024890507135,384.054094016465,0.00581788060011424,1.69842856487641,1.56129495186991,"CBT","2016-06-28",NA,NA,"Valerium","ok; 4th point has temp ~0.5-1 C lower due to weirdness in temp time series",NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"RMBL_2016",6
"plipo1",NA,"Coolers:","Tblock","C",14,FALSE,NA,"13:30:38",25.5,NA,NA,0,6,1,15.45,17.654,14.081,399.544,385.193,5.267,8.9737,21.025,35.825,499.83,1499,55.3,70.33,-1.77,0.326,1,-0.22,2.74,1,0,0.16,111115,15,1601.25,NA,NA,NA,NA,1.42,1.23587070718104,15.9554307617711,0.00462248259904807,290.804,288.6,239.84,0.154286711972522,17.654,2.02663829902902,28.8161282387178,19.8424282387178,16.552,1.89003473350875,0.22855835752152,0.631120321,1.25891441250875,2.84,0.248562293956873,0.14452090558117,264.401991230459,18.5953920432382,0.686414317200753,35.4634905491593,377.608552278736,0.0149847248343495,4.62248259904807,1.39551797802902,"Pfeiler","2015-06-27",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 11:53:00",NA,NA,NA,NA,NA,304,"RMBL_2015",4.044355102
"as1",NA,NA,NA,NA,NA,FALSE,NA,"00:03:28",25.5,21060206,1,0,6,1,18.749,21.186,17.74,400.023,396.756,9.6442,10.4948,33.884,36.873,499.99,1499,1854.6,76.27,1.14,0.311,1,-0.22,2.74,1,0,0.16,111115,15,NA,NA,NA,NA,NA,1.42,8.4209658602113,24.6392484662952,0.0072388488098332,294.336,291.899,239.84,-1.26036579933062,21.186,2.52460462907487,33.1008867061082,22.6060867061082,19.9675,2.34189455770666,0.313235931068666,0.800438396,1.54145616170666,2.84,0.352073547429328,0.198926838795394,260.916210479153,19.900079373245,0.657623848370909,37.8840072079583,385.043681186796,0.0242426374609015,7.2388488098332,1.72416623307487,"Almont","2015-06-17",NA,NA,"Artemisia tridentata",NA,NA,NA,NA,"1899-12-31 10:30:00",NA,NA,NA,NA,NA,163,"RMBL_2015",0.593744243
"rpoga3",NA,"Coolers:","Tblock","C",21,FALSE,NA,"16:02:01",55.5,NA,NA,0,6,1,21.923,23.209,21.12,399.266,385.827,8.5943,12.7818,23.839,35.453,499.9,1500,10,73.25,0.704,0.287,1,-0.22,2.74,1,0,0.16,111115,15,1458.75,NA,NA,NA,NA,1.42,1.47431488872458,17.4004998552582,0.0062536262198543,296.359,295.073,240,-0.595165403616102,23.209,2.85558918574146,38.984152706368,26.202352706368,22.566,2.74649823658601,0.232489156647199,0.93626685,1.81023138658601,2.84,0.253218208953968,0.147036001523983,253.881485056527,18.5968187803906,0.658018916963955,36.6496779325974,377.555635632184,0.0168908339253926,6.2536262198543,1.91932233574146,"Road","2015-06-26",NA,NA,"Potentilla gracilis",NA,NA,NA,NA,"1899-12-31 02:33:00",NA,NA,NA,NA,NA,321,"RMBL_2015",3.390727475
"abasa1",NA,"Coolers:","Tblock","C",18,FALSE,NA,"11:15:37",25.5,NA,NA,0,6,1,19.224,20.632,18.01,400.443,369.193,0.7373,10.4902,2.511,35.725,499.84,1501,205,76.151,-3.12,0.242,1,-0.22,2.74,1,0,0.16,111115,15,775.75,NA,NA,NA,NA,1.42,0.833066666666667,23.0019076911389,0.00821095026560457,293.782,292.374,240.16,-1.63520279232176,20.632,2.44004246132281,32.0421589908373,21.5519589908373,19.928,2.33617088007636,0.372881918064588,0.79883922,1.53733166007636,2.84,0.429239566339696,0.237534391961412,261.45681152052,19.910197520231,0.708184529684169,40.3003238310781,358.258994583437,0.0258747044385349,8.21095026560458,1.64120324132281,"Almont","2015-06-22",NA,NA,"Balsamorhiza sagittata",NA,NA,NA,NA,"1899-12-31 09:35:00",NA,NA,NA,NA,NA,158,"RMBL_2015",6
"pdeba1",NA,"Coolers:","Tblock","C",23,FALSE,NA,"14:44:45",55.5,NA,NA,0,6,1,22.881,22.719,23.082,400.763,381.117,9.1787,14.0713,23.047,35.332,499.84,1499,288.9,70.29,-2.1,0.295,1,-0.22,2.74,1,0,0.16,111115,15,1847.75,NA,NA,NA,NA,1.42,1.1569363369769,20.5411046043634,0.00574121333479683,295.869,296.031,239.84,-0.137113945339558,22.719,2.7721199907568,39.4383267997837,25.3670267997837,22.8,2.78576886004198,0.220270558009769,0.989071677,1.79669718304198,2.84,0.238791227681816,0.139221313787777,221.15597450623,15.5450534480429,0.58028365437867,39.0369213511389,371.352742529616,0.0215929847981281,5.74121333479683,1.7830483137568,"Pfeiler","2015-06-27",NA,NA,"Delphinium barbeyi",NA,NA,NA,NA,"1899-12-31 01:10:00",NA,NA,NA,NA,NA,300,"RMBL_2015",4.320376014
"pbcup1",NA,"Coolers:","Tblock","C",24,FALSE,NA,"10:57:47",70.5,NA,NA,0,6,1,23.066,21.742,24.08,401.072,383.26,8.7853,14.5058,21.24,35.073,499.93,1499,240.1,68.45,-2.88,0.135,1,-0.22,2.74,1,0,0.16,111115,15,1659.25,NA,NA,NA,NA,1.42,0.833216666666666,12.9875928300048,0.00483657457332615,294.892,296.216,239.84,0.491165688506455,21.742,2.61204233526572,38.1598588059272,23.6540588059272,22.404,2.71959614213371,0.199087165147309,0.99292201,1.72667413213371,2.84,0.21409550910187,0.125696123282311,267.415944111708,18.3046213744464,0.697740313230405,40.7997027784134,377.086320309681,0.0140521917776377,4.83657457332615,1.61912032526572,"Painter Boy","2015-07-01",NA,NA,"Veratrum californicum",NA,NA,NA,NA,"1899-12-31 09:25:00",NA,NA,NA,NA,NA,291,"RMBL_2015",6
"pdeba4",NA,"Coolers:","Tblock","C",17,FALSE,NA,"14:37:02",40.5,NA,NA,0,6,1,18.28,20.387,17.02,399.97,379.748,4.8239,11.035,16.071,36.76,487.81,1499,311.4,70.233,-0.666,0.329,0.38,-0.22,2.74,1,0,0.16,111215,15,2252.25,NA,NA,NA,NA,1.42,1.0617162501472,18.9378498727656,0.00666800766150859,293.537,291.43,239.84,-0.917153048803534,20.387,2.40344422212584,34.2210111589156,23.1860111589156,19.3335,2.25149411731204,0.281080230464116,0.77502116,1.47647295731204,2.84,0.311955069544484,0.178210587620703,261.484417725333,18.3648345032241,0.688574591362632,37.5386154591148,370.745853053439,0.0191748095220067,6.66800766150859,1.62842306212584,"Pfeiler","2015-06-28",NA,NA,"Delphinium barbeyi","Lots of psyn oscillation",NA,NA,NA,"1899-12-31 01:00:00",NA,NA,NA,NA,NA,303,"RMBL_2015",4.594542091
"063016-stm-sage1",NA,"Coolers:","Tblock","C",25,FALSE,NA,"17:29:26",85.5,NA,NA,0,6,1,24.216,22.839,25.05,400.846,390.988,11.2528,13.8523,27.044,33.289,200.21,1700,8,72.91,2.25,-0.0489,0.79,-0.22,2.74,1,0,0.16,111115,15,1165.55,NA,NA,NA,NA,1.42,1.81843778383288,16.0519872770695,0.00479342961930944,295.989,297.366,272,0.904258959261118,22.839,2.79236159782168,38.298746369794,24.446446369794,23.5275,2.91101559716356,0.19096581003736,1.009971193,1.90104440416356,2.84,0.204732375173372,0.120518563785149,245.146233924311,17.8736119154215,0.626991665823276,38.8670830620128,383.357653935196,0.0162744766154743,4.79342961930944,1.78239040482168,"Road","2016-06-29",NA,NA,"Artemisia","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"RMBL_2016",1.101
"rartr2",NA,"Coolers:","Tblock","C",23,FALSE,NA,"11:13:27",40.5,NA,NA,0,6,1,23.46,23.92,23.09,399.051,391.668,11.9662,14.1035,30.226,35.624,499.9,1500,240,73.24,-3.74,0.266,0.85,-0.22,2.74,1,0,0.16,111115,15,1955.45,NA,NA,NA,NA,1.42,4.79727584594259,31.3449824180707,0.0103998925006448,297.07,296.61,240,-2.65550519448529,23.92,2.98061204466472,40.6965052521126,26.5930052521126,23.69,2.93965496417701,0.380360690303368,1.03294034,1.90671462417701,2.84,0.439180180389922,0.242392075189296,248.615507339719,18.208599757561,0.63476087843068,41.8125783691425,376.768096385776,0.0347858036078541,10.3998925006448,1.94767170466472,"Road","2015-06-24",NA,NA,"Artemisia tridentata",NA,NA,NA,NA,"1899-12-31 09:36:00",NA,NA,NA,NA,NA,312,"RMBL_2015",1.04204973
"pbvaoc2",NA,"Coolers:","Tblock","C",22,FALSE,NA,"13:56:59",55.5,NA,NA,0,6,1,21.543,20.52,22.11,399.577,380.3,7.5152,13.3646,19.926,35.436,499.88,1499.7,35.8,68.42,-2.43,0.227,0.7,-0.22,2.74,1,0,0.16,111115,15,2020.75,NA,NA,NA,NA,1.42,0.833133333333333,14.1818800031759,0.0049393424027547,293.67,294.693,239.952,0.397491826170022,20.52,2.4232520021693,35.4173049133192,22.0527049133192,21.0315,2.50076783652513,0.218516105652184,0.914405932,1.58636190452513,2.84,0.236730725807275,0.138100016188152,266.048332140219,18.2030268850338,0.699574571700229,41.0886039972924,373.558613378772,0.015598992146939,4.9393424027547,1.5088460701693,"Painter Boy","2015-07-01",NA,NA,"Valeriana occidentalis","Not yet flowering.",NA,NA,NA,"1899-12-31 12:15:00",NA,NA,NA,NA,NA,295,"RMBL_2015",6
"as3",NA,"Coolers:","Tblock","C",19,FALSE,NA,"00:20:15",25.5,21060206,1,0,6,1,20.04,22.021,19.052,400.443,397.972,9.7948,11.0656,31.79,35.916,499.96,1499,0,76.34,2.64,0.316,0.88,-0.22,2.74,1,0,0.16,111115,15,NA,NA,NA,NA,NA,1.42,9.75107584035566,19.1080113971943,0.0125303195845456,295.171,293.19,239.84,-3.97859560196661,22.021,2.65690721218192,34.8036050849085,23.7380050849085,21.0305,2.50061395661743,0.51575512566003,0.844747904,1.65586605261743,2.84,0.630214880834188,0.330988239502576,326.561343698687,24.9296929779578,0.820568751745484,42.8705013648132,388.888966413306,0.0210788595726588,12.5303195845456,1.81215930818192,"Almont","2015-06-18",NA,NA,"Artemisia tridentata","Photosynthesis oscillation a lot",NA,NA,NA,"1899-12-31 09:45:00",NA,NA,NA,NA,NA,165,"RMBL_2015",0.512722912
"rpoga3",NA,"Coolers:","Tblock","C",16,FALSE,NA,"15:58:14",40.5,NA,NA,0,6,1,17.664,20.211,16.04,399.968,387.122,6.5012,9.949,23.483,35.935,499.85,1499,6,73.25,0.753,0.31,1,-0.22,2.74,1,0,0.16,111115,15,1231.75,NA,NA,NA,NA,1.42,1.47416742774351,16.9497846208354,0.00513371008070963,293.361,290.814,239.84,-0.165828345129288,20.211,2.37745096660508,32.4566684860762,22.5076684860762,18.9375,2.19659473047486,0.223251101810545,0.72876425,1.46783048047486,2.84,0.242298060345593,0.141126688868193,255.333612226447,18.7031870955872,0.659568860114839,34.7203898710733,379.064884071082,0.0155251401460936,5.13371008070964,1.64868671660508,"Road","2015-06-26",NA,NA,"Potentilla gracilis",NA,NA,NA,NA,"1899-12-31 02:33:00",NA,NA,NA,NA,NA,321,"RMBL_2015",3.390727475
"plipo3",NA,"Coolers:","Tblock","C",26,FALSE,NA,"12:23:24",73.5,NA,NA,0,6,1,25.01,23.202,26.02,398.725,396.322,15.3486,15.8152,33.912,34.943,499.86,1501,58.7,70.3,-2.18,0.307,0.7,-0.22,2.74,1,0,0.16,111115,15,2502.25,NA,NA,NA,NA,1.42,2.38730933523029,5.288145304425,0.00113181929116723,296.352,298.16,240.16,2.50239822578255,23.202,2.85438140305065,40.6028649082596,24.7876649082596,24.106,3.01409793455733,0.0443723866255988,1.11180856,1.90228937455733,2.84,0.0450767486940464,0.0277951754735852,194.088718071661,13.6444368804378,0.489725149493626,38.1603494811249,393.808268957404,0.00512432055781222,1.13181929116723,1.74257284305065,"Pfeiler","2015-06-28",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 10:35:00",NA,NA,NA,NA,NA,306,"RMBL_2015",2.093821662
"rcup2",NA,"Coolers:","Tblock","C",23,FALSE,NA,"11:40:25",40.5,NA,NA,0,6,1,23.425,23.889,23.09,400.05,382.025,7.1565,14.4747,18.13,36.673,499.87,1499,264,73.3,-0.208,0.223,1,-0.22,2.74,1,0,0.16,111115,15,1628.75,NA,NA,NA,NA,1.42,0.833116666666667,12.6535416890214,0.00618646157586047,297.039,296.575,239.84,-0.453372033210008,23.889,2.97506285459758,40.5874877844144,26.1127877844144,23.657,2.93381912598847,0.230390644610499,1.06099551,1.87282361598847,2.84,0.250730798757622,0.145693153546612,281.095500801807,20.6043002087724,0.735803986697359,39.2085504427933,376.010112225289,0.0131945103879112,6.18646157586047,1.91406734459758,"Road","2015-06-26",NA,NA,"Veratrum californicum",NA,NA,NA,NA,"1899-12-31 10:10:00",NA,NA,NA,NA,NA,316,"RMBL_2015",6
"pbcup2",NA,"Coolers:","Tblock","C",19,FALSE,NA,"11:37:56",55.5,NA,NA,0,6,1,19.244,20.272,18.99,400.395,380.921,4.0666,11.225,12.431,34.315,499.94,1499.2,258,68.44,-2.65,0.186,0.97,-0.22,2.74,1,0,0.16,111115,15,904.75,NA,NA,NA,NA,1.42,0.833233333333333,13.9285492744763,0.00603233066427823,293.422,292.394,239.872,-0.444547903086935,20.272,2.3864321111499,34.8689671412902,23.6439671412902,19.758,2.31167705485383,0.249251954846108,0.768239,1.54343805485383,2.84,0.273232111954052,0.1577729650873,280.003723841128,19.1634548596868,0.735070194844896,36.6838702173961,374.300034675865,0.0136508864903796,6.03233066427823,1.6181931111499,"Painter Boy","2015-07-01",NA,NA,"Veratrum californicum",NA,NA,NA,NA,"1899-12-31 10:05:00",NA,NA,NA,NA,NA,292,"RMBL_2015",6
"plipo1",NA,"Coolers:","Tblock","C",24,FALSE,NA,"13:38:23",55.5,NA,NA,0,6,1,23.61,22.5,24.057,400.636,386.997,10.5953,14.5693,25.472,35.026,499.88,1500,79,70.33,-1.81,0.293,1,-0.22,2.74,1,0,0.16,111115,15,2066.25,NA,NA,NA,NA,1.42,1.23599433628566,14.9287589714055,0.00498446163392616,295.65,296.76,240,0.387713485010311,22.5,2.73550975645176,38.8953470276093,24.3260470276093,23.055,2.82912204907233,0.199424731607051,1.024658869,1.80446318007233,2.84,0.214485933260883,0.125911422822867,255.710151562041,17.9840949593584,0.660754820436665,40.2522159576141,379.900582883311,0.0158177170851773,4.98446163392616,1.71085088745176,"Pfeiler","2015-06-27",NA,NA,"Ligusticum porteri",NA,NA,NA,NA,"1899-12-31 11:53:00",NA,NA,NA,NA,NA,304,"RMBL_2015",4.044355102
"rartr3",NA,"Coolers:","Tblock","C",21,FALSE,NA,"12:19:03",25.5,NA,NA,0,6,1,22.4,24.78,21.12,399.962,394.369,11.6723,13.4403,31.441,36.204,499.82,1500.5,307,73.24,-2.67,0.336,0.88,-0.22,2.74,1,0,0.16,111115,15,1599.75,NA,NA,NA,NA,1.42,5.30404906247293,25.9169637014662,0.00950531303139667,297.93,295.55,240.08,-2.44007799548044,24.78,3.13821073838203,42.8483170177776,29.4080170177776,23.59,2.92200165663148,0.314125002859885,0.984367572,1.93763408463148,2.84,0.353190698331026,0.19950015608825,249.130939698001,18.2463500234816,0.631721017785705,37.1907391120645,382.049316550359,0.02522913836222,9.50531303139667,2.15384316638203,"Road","2015-06-24",NA,NA,"Artemisia tridentata",NA,NA,NA,NA,"1899-12-31 10:47:00",NA,NA,NA,NA,NA,313,"RMBL_2015",0.942336683
"pdeba2",NA,"Coolers:","Tblock","C",27,FALSE,NA,"16:57:08",70.5,NA,NA,0,6,1,26.135,24.773,26.98,400.177,384.198,12.2497,17.2401,25.296,35.598,499.74,1500,171,70.24,-1.07,0.284,1,-0.22,2.74,1,0,0.16,111115,15,1565.75,NA,NA,NA,NA,1.42,1.60852509882194,22.5644946987835,0.00816800086774553,297.923,299.285,240,-1.23937852340547,24.773,3.13689952383127,44.6597312618348,27.4196312618348,25.454,3.26676709376876,0.288669232167166,1.210944624,2.05582246976876,2.84,0.321330601089502,0.183093512224193,246.881158351432,17.3409325626046,0.642588332868681,43.0822638579963,373.471919773466,0.0260295121414354,8.16800086774552,1.92595489983127,"Pfeiler","2015-06-27",NA,NA,"Delphinium barbeyi",NA,NA,NA,NA,"1899-12-31 03:15:00",NA,NA,NA,NA,NA,301,"RMBL_2015",3.106821276
"062316-stm-vaoc4",NA,"Coolers:","Tblock","C",25,FALSE,NA,"09:52:02",85.5,NA,NA,0,6,1,23.758,21.883,25.06,399.8,374.769,7.7425,14.4284,19.21,35.796,300.99,1700.5,7.2,73.23,-5.42,-0.164,1,-0.22,2.74,1,0,0.16,111115,15,2166.25,NA,NA,NA,NA,1.42,0.50165,11.2814312370749,0.00340308277319475,295.033,296.908,272.08,1.70071049937693,21.883,2.63463187149202,35.9774938070739,21.5490938070739,22.8205,2.78923237032572,0.153942235812845,1.056591732,1.73264063832572,2.84,0.162764911771267,0.0969694808756106,247.509690057723,18.125134602927,0.660432643930366,41.8859840954248,369.406347827447,0.0127917090839198,3.40308277319475,1.57804013949202,"CBT","2016-06-23",NA,NA,"Valerium","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"RMBL_2016",6
"rartr3",NA,"Coolers:","Tblock","C",16.72,FALSE,NA,"12:11:08",10.5,NA,NA,0,6,1,18.753,22.468,16.8,400.339,394.912,9.3365,11.1726,31.487,37.68,499.84,1499.2,286.5,73.24,-2.25,0.343,1,-0.22,2.74,1,0,0.16,111115,15,1125.25,NA,NA,NA,NA,1.42,5.30426130084124,24.896654419422,0.00984919558199767,295.618,291.903,239.872,-2.79434382984227,22.468,2.73019600318283,37.2773894481544,26.1047894481544,20.6105,2.43681133147612,0.368154677748215,0.818281224,1.61853010747612,2.84,0.422987384505085,0.2344658511031,274.663906171854,20.1163844880266,0.695506551429335,37.5362635106989,383.077322723162,0.0243952898541112,9.84919558199767,1.91191477918283,"Road","2015-06-24",NA,NA,"Artemisia tridentata",NA,NA,NA,NA,"1899-12-31 10:47:00",NA,NA,NA,NA,NA,313,"RMBL_2015",0.942336683
